Model,Precision,Recall,F1-Score,Anomaly_Ratio
IsolationForest,0.019585253456221197,1.0,0.0384180790960452,1.0
LocalOutlierFactor,0.019807923169267706,0.9705882352941176,0.03882352941176471,0.9596774193548387
Autoencoder,0.02857142857142857,0.029411764705882353,0.028985507246376812,0.020161290322580645
